STATISTIC,STATISTIC Label,TLIST(A1),Year,C02199V02655,Sex,C02537V03072,Nationality,UNIT,VALUE
PEA17,Estimated Immigration (Persons in April),2017,2017,-,Both sexes,ON17,Other nationalities(17),Thousand,29.4
PEA17,Estimated Immigration (Persons in April),2017,2017,-,Both sexes,-,All nationalities,Thousand,84.6
PEA17,Estimated Immigration (Persons in April),2017,2017,1,Male,IE,Irish,Thousand,14.1
PEA17,Estimated Immigration (Persons in April),2017,2017,1,Male,GB01,UK (1),Thousand,3.3
PEA17,Estimated Immigration (Persons in April),2017,2017,1,Male,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,5.2
PEA17,Estimated Immigration (Persons in April),2017,2017,1,Male,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,5.6
PEA17,Estimated Immigration (Persons in April),2017,2017,1,Male,ON17,Other nationalities(17),Thousand,14.5
PEA17,Estimated Immigration (Persons in April),2017,2017,1,Male,-,All nationalities,Thousand,42.7
PEA17,Estimated Immigration (Persons in April),2017,2017,2,Female,IE,Irish,Thousand,13.3
PEA17,Estimated Immigration (Persons in April),2017,2017,2,Female,GB01,UK (1),Thousand,2.8
PEA17,Estimated Immigration (Persons in April),2017,2017,2,Female,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,5.6
PEA17,Estimated Immigration (Persons in April),2017,2017,2,Female,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,5.3
PEA17,Estimated Immigration (Persons in April),2017,2017,2,Female,ON17,Other nationalities(17),Thousand,14.9
PEA17,Estimated Immigration (Persons in April),2017,2017,2,Female,-,All nationalities,Thousand,41.9
PEA17,Estimated Immigration (Persons in April),2018,2018,-,Both sexes,IE,Irish,Thousand,28.4
PEA17,Estimated Immigration (Persons in April),2018,2018,-,Both sexes,GB01,UK (1),Thousand,7.3
PEA17,Estimated Immigration (Persons in April),2018,2018,-,Both sexes,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,11.6
PEA17,Estimated Immigration (Persons in April),2018,2018,-,Both sexes,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,12.2
PEA17,Estimated Immigration (Persons in April),2018,2018,-,Both sexes,ON17,Other nationalities(17),Thousand,30.9
PEA17,Estimated Immigration (Persons in April),2018,2018,-,Both sexes,-,All nationalities,Thousand,90.3
PEA17,Estimated Immigration (Persons in April),2018,2018,1,Male,IE,Irish,Thousand,14.1
PEA17,Estimated Immigration (Persons in April),2018,2018,1,Male,GB01,UK (1),Thousand,3.8
PEA17,Estimated Immigration (Persons in April),2018,2018,1,Male,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,5.4
PEA17,Estimated Immigration (Persons in April),2018,2018,1,Male,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,5.5
PEA17,Estimated Immigration (Persons in April),2018,2018,1,Male,ON17,Other nationalities(17),Thousand,15.7
PEA17,Estimated Immigration (Persons in April),2018,2018,1,Male,-,All nationalities,Thousand,44.5
PEA17,Estimated Immigration (Persons in April),2018,2018,2,Female,IE,Irish,Thousand,14.3
PEA17,Estimated Immigration (Persons in April),2018,2018,2,Female,GB01,UK (1),Thousand,3.5
PEA17,Estimated Immigration (Persons in April),2018,2018,2,Female,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,6.2
PEA17,Estimated Immigration (Persons in April),2018,2018,2,Female,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,6.7
PEA17,Estimated Immigration (Persons in April),2018,2018,2,Female,ON17,Other nationalities(17),Thousand,15.1
PEA17,Estimated Immigration (Persons in April),2018,2018,2,Female,-,All nationalities,Thousand,45.8
PEA17,Estimated Immigration (Persons in April),2019,2019,-,Both sexes,IE,Irish,Thousand,26.9
PEA17,Estimated Immigration (Persons in April),2019,2019,-,Both sexes,GB01,UK (1),Thousand,7.4
PEA17,Estimated Immigration (Persons in April),2019,2019,-,Both sexes,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,12.6
PEA17,Estimated Immigration (Persons in April),2019,2019,-,Both sexes,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,11.1
PEA17,Estimated Immigration (Persons in April),2019,2019,-,Both sexes,ON17,Other nationalities(17),Thousand,30.6
PEA17,Estimated Immigration (Persons in April),2019,2019,-,Both sexes,-,All nationalities,Thousand,88.6
PEA17,Estimated Immigration (Persons in April),2019,2019,1,Male,IE,Irish,Thousand,13.8
PEA17,Estimated Immigration (Persons in April),2019,2019,1,Male,GB01,UK (1),Thousand,3.9
PEA17,Estimated Immigration (Persons in April),2019,2019,1,Male,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,6.1
PEA17,Estimated Immigration (Persons in April),2019,2019,1,Male,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,5.4
PEA17,Estimated Immigration (Persons in April),2019,2019,1,Male,ON17,Other nationalities(17),Thousand,15.9
PEA17,Estimated Immigration (Persons in April),2019,2019,1,Male,-,All nationalities,Thousand,45
PEA17,Estimated Immigration (Persons in April),2019,2019,2,Female,IE,Irish,Thousand,13.2
PEA17,Estimated Immigration (Persons in April),2019,2019,2,Female,GB01,UK (1),Thousand,3.6
PEA17,Estimated Immigration (Persons in April),2019,2019,2,Female,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,6.5
PEA17,Estimated Immigration (Persons in April),2019,2019,2,Female,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,5.7
PEA17,Estimated Immigration (Persons in April),2019,2019,2,Female,ON17,Other nationalities(17),Thousand,14.7
PEA17,Estimated Immigration (Persons in April),2019,2019,2,Female,-,All nationalities,Thousand,43.6
PEA17,Estimated Immigration (Persons in April),2020,2020,-,Both sexes,IE,Irish,Thousand,28.9
PEA17,Estimated Immigration (Persons in April),2020,2020,-,Both sexes,GB01,UK (1),Thousand,5.5
PEA17,Estimated Immigration (Persons in April),2020,2020,-,Both sexes,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,9.2
PEA17,Estimated Immigration (Persons in April),2020,2020,-,Both sexes,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,11.4
PEA17,Estimated Immigration (Persons in April),2020,2020,-,Both sexes,ON17,Other nationalities(17),Thousand,30.4
PEA17,Estimated Immigration (Persons in April),2020,2020,-,Both sexes,-,All nationalities,Thousand,85.4
PEA17,Estimated Immigration (Persons in April),2020,2020,1,Male,IE,Irish,Thousand,14.1
PEA17,Estimated Immigration (Persons in April),2020,2020,1,Male,GB01,UK (1),Thousand,3.1
PEA17,Estimated Immigration (Persons in April),2020,2020,1,Male,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,4.1
PEA17,Estimated Immigration (Persons in April),2020,2020,1,Male,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,5.3
PEA17,Estimated Immigration (Persons in April),2020,2020,1,Male,ON17,Other nationalities(17),Thousand,15.2
PEA17,Estimated Immigration (Persons in April),2020,2020,1,Male,-,All nationalities,Thousand,41.9
PEA17,Estimated Immigration (Persons in April),2020,2020,2,Female,IE,Irish,Thousand,14.8
PEA17,Estimated Immigration (Persons in April),2020,2020,2,Female,GB01,UK (1),Thousand,2.4
PEA17,Estimated Immigration (Persons in April),2020,2020,2,Female,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,5.1
PEA17,Estimated Immigration (Persons in April),2020,2020,2,Female,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,6
PEA17,Estimated Immigration (Persons in April),2020,2020,2,Female,ON17,Other nationalities(17),Thousand,15.3
PEA17,Estimated Immigration (Persons in April),2020,2020,2,Female,-,All nationalities,Thousand,43.5
PEA17,Estimated Immigration (Persons in April),2021,2021,-,Both sexes,IE,Irish,Thousand,30.2
PEA17,Estimated Immigration (Persons in April),2021,2021,-,Both sexes,GB01,UK (1),Thousand,4.3
PEA17,Estimated Immigration (Persons in April),2021,2021,-,Both sexes,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,7.6
PEA17,Estimated Immigration (Persons in April),2021,2021,-,Both sexes,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,9
PEA17,Estimated Immigration (Persons in April),2021,2021,-,Both sexes,ON17,Other nationalities(17),Thousand,14.1
PEA17,Estimated Immigration (Persons in April),2021,2021,-,Both sexes,-,All nationalities,Thousand,65.2
PEA17,Estimated Immigration (Persons in April),2021,2021,1,Male,IE,Irish,Thousand,14.4
PEA17,Estimated Immigration (Persons in April),2021,2021,1,Male,GB01,UK (1),Thousand,2.2
PEA17,Estimated Immigration (Persons in April),2021,2021,1,Male,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,3.5
PEA17,Estimated Immigration (Persons in April),2021,2021,1,Male,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,4.1
PEA17,Estimated Immigration (Persons in April),2021,2021,1,Male,ON17,Other nationalities(17),Thousand,6.7
PEA17,Estimated Immigration (Persons in April),2021,2021,1,Male,-,All nationalities,Thousand,30.9
PEA17,Estimated Immigration (Persons in April),2021,2021,2,Female,IE,Irish,Thousand,15.8
PEA17,Estimated Immigration (Persons in April),2021,2021,2,Female,GB01,UK (1),Thousand,2.2
PEA17,Estimated Immigration (Persons in April),2021,2021,2,Female,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,4
PEA17,Estimated Immigration (Persons in April),2021,2021,2,Female,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,5
PEA17,Estimated Immigration (Persons in April),2021,2021,2,Female,ON17,Other nationalities(17),Thousand,7.4
PEA17,Estimated Immigration (Persons in April),2021,2021,2,Female,-,All nationalities,Thousand,34.3
PEA17,Estimated Immigration (Persons in April),2022,2022,-,Both sexes,IE,Irish,Thousand,28.9
PEA17,Estimated Immigration (Persons in April),2022,2022,-,Both sexes,GB01,UK (1),Thousand,4.5
PEA17,Estimated Immigration (Persons in April),2022,2022,-,Both sexes,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,12.8
PEA17,Estimated Immigration (Persons in April),2022,2022,-,Both sexes,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,11.5
PEA17,Estimated Immigration (Persons in April),2022,2022,-,Both sexes,ON17,Other nationalities(17),Thousand,63
PEA17,Estimated Immigration (Persons in April),2022,2022,-,Both sexes,-,All nationalities,Thousand,120.7
PEA17,Estimated Immigration (Persons in April),2022,2022,1,Male,IE,Irish,Thousand,13.2
PEA17,Estimated Immigration (Persons in April),2022,2022,1,Male,GB01,UK (1),Thousand,2.5
PEA17,Estimated Immigration (Persons in April),2022,2022,1,Male,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,8
PEA17,Estimated Immigration (Persons in April),2022,2022,1,Male,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,6.8
PEA17,Estimated Immigration (Persons in April),2022,2022,1,Male,ON17,Other nationalities(17),Thousand,26
PEA17,Estimated Immigration (Persons in April),2022,2022,1,Male,-,All nationalities,Thousand,56.5
PEA17,Estimated Immigration (Persons in April),2022,2022,2,Female,IE,Irish,Thousand,15.7
PEA17,Estimated Immigration (Persons in April),2022,2022,2,Female,GB01,UK (1),Thousand,2
PEA17,Estimated Immigration (Persons in April),2022,2022,2,Female,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,4.7
PEA17,Estimated Immigration (Persons in April),2022,2022,2,Female,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,4.8
PEA17,Estimated Immigration (Persons in April),2022,2022,2,Female,ON17,Other nationalities(17),Thousand,37
PEA17,Estimated Immigration (Persons in April),2022,2022,2,Female,-,All nationalities,Thousand,64.2
PEA16,Estimated Emigration (Persons in April),2006,2006,-,Both sexes,IE,Irish,Thousand,15.3
PEA16,Estimated Emigration (Persons in April),2006,2006,-,Both sexes,GB01,UK (1),Thousand,2.2
PEA16,Estimated Emigration (Persons in April),2006,2006,-,Both sexes,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,5.1
PEA16,Estimated Emigration (Persons in April),2006,2006,-,Both sexes,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,7.2
PEA16,Estimated Emigration (Persons in April),2006,2006,-,Both sexes,ON17,Other nationalities(17),Thousand,6.2
PEA16,Estimated Emigration (Persons in April),2006,2006,-,Both sexes,-,All nationalities,Thousand,36
PEA16,Estimated Emigration (Persons in April),2006,2006,1,Male,IE,Irish,Thousand,8
PEA16,Estimated Emigration (Persons in April),2006,2006,1,Male,GB01,UK (1),Thousand,1.6
PEA16,Estimated Emigration (Persons in April),2006,2006,1,Male,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,2.5
PEA16,Estimated Emigration (Persons in April),2006,2006,1,Male,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,3.7
PEA16,Estimated Emigration (Persons in April),2006,2006,1,Male,ON17,Other nationalities(17),Thousand,2.8
PEA16,Estimated Emigration (Persons in April),2006,2006,1,Male,-,All nationalities,Thousand,18.7
PEA16,Estimated Emigration (Persons in April),2006,2006,2,Female,IE,Irish,Thousand,7.3
PEA16,Estimated Emigration (Persons in April),2006,2006,2,Female,GB01,UK (1),Thousand,0.6
PEA16,Estimated Emigration (Persons in April),2006,2006,2,Female,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,2.6
PEA16,Estimated Emigration (Persons in April),2006,2006,2,Female,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,3.4
PEA16,Estimated Emigration (Persons in April),2006,2006,2,Female,ON17,Other nationalities(17),Thousand,3.4
PEA16,Estimated Emigration (Persons in April),2006,2006,2,Female,-,All nationalities,Thousand,17.3
PEA16,Estimated Emigration (Persons in April),2007,2007,-,Both sexes,IE,Irish,Thousand,12.9
PEA16,Estimated Emigration (Persons in April),2007,2007,-,Both sexes,GB01,UK (1),Thousand,3.7
PEA16,Estimated Emigration (Persons in April),2007,2007,-,Both sexes,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,8.9
PEA16,Estimated Emigration (Persons in April),2007,2007,-,Both sexes,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,12.6
PEA16,Estimated Emigration (Persons in April),2007,2007,-,Both sexes,ON17,Other nationalities(17),Thousand,8.2
PEA16,Estimated Emigration (Persons in April),2007,2007,-,Both sexes,-,All nationalities,Thousand,46.3
PEA16,Estimated Emigration (Persons in April),2007,2007,1,Male,IE,Irish,Thousand,6.1
PEA16,Estimated Emigration (Persons in April),2007,2007,1,Male,GB01,UK (1),Thousand,2.3
PEA16,Estimated Emigration (Persons in April),2007,2007,1,Male,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,4.3
PEA16,Estimated Emigration (Persons in April),2007,2007,1,Male,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,8.4
PEA16,Estimated Emigration (Persons in April),2007,2007,1,Male,ON17,Other nationalities(17),Thousand,4.6
PEA16,Estimated Emigration (Persons in April),2007,2007,1,Male,-,All nationalities,Thousand,25.7
PEA16,Estimated Emigration (Persons in April),2007,2007,2,Female,IE,Irish,Thousand,6.8
PEA16,Estimated Emigration (Persons in April),2007,2007,2,Female,GB01,UK (1),Thousand,1.4
PEA16,Estimated Emigration (Persons in April),2007,2007,2,Female,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,4.6
PEA16,Estimated Emigration (Persons in April),2007,2007,2,Female,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,4.3
PEA16,Estimated Emigration (Persons in April),2007,2007,2,Female,ON17,Other nationalities(17),Thousand,3.6
PEA16,Estimated Emigration (Persons in April),2007,2007,2,Female,-,All nationalities,Thousand,20.6
PEA16,Estimated Emigration (Persons in April),2008,2008,-,Both sexes,IE,Irish,Thousand,13.1
PEA16,Estimated Emigration (Persons in April),2008,2008,-,Both sexes,GB01,UK (1),Thousand,3.7
PEA16,Estimated Emigration (Persons in April),2008,2008,-,Both sexes,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,6
PEA16,Estimated Emigration (Persons in April),2008,2008,-,Both sexes,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,17.2
PEA16,Estimated Emigration (Persons in April),2008,2008,-,Both sexes,ON17,Other nationalities(17),Thousand,9
PEA16,Estimated Emigration (Persons in April),2008,2008,-,Both sexes,-,All nationalities,Thousand,49.2
PEA16,Estimated Emigration (Persons in April),2008,2008,1,Male,IE,Irish,Thousand,7.1
PEA16,Estimated Emigration (Persons in April),2008,2008,1,Male,GB01,UK (1),Thousand,2.5
PEA16,Estimated Emigration (Persons in April),2008,2008,1,Male,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,2
PEA16,Estimated Emigration (Persons in April),2008,2008,1,Male,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,12.4
PEA16,Estimated Emigration (Persons in April),2008,2008,1,Male,ON17,Other nationalities(17),Thousand,5.5
PEA16,Estimated Emigration (Persons in April),2008,2008,1,Male,-,All nationalities,Thousand,29.6
PEA16,Estimated Emigration (Persons in April),2008,2008,2,Female,IE,Irish,Thousand,6
PEA16,Estimated Emigration (Persons in April),2008,2008,2,Female,GB01,UK (1),Thousand,1.3
PEA16,Estimated Emigration (Persons in April),2008,2008,2,Female,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,4
PEA16,Estimated Emigration (Persons in April),2008,2008,2,Female,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,4.8
PEA16,Estimated Emigration (Persons in April),2008,2008,2,Female,ON17,Other nationalities(17),Thousand,3.5
PEA16,Estimated Emigration (Persons in April),2008,2008,2,Female,-,All nationalities,Thousand,19.6
PEA16,Estimated Emigration (Persons in April),2009,2009,-,Both sexes,IE,Irish,Thousand,19.2
PEA16,Estimated Emigration (Persons in April),2009,2009,-,Both sexes,GB01,UK (1),Thousand,3.9
PEA16,Estimated Emigration (Persons in April),2009,2009,-,Both sexes,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,7.4
PEA16,Estimated Emigration (Persons in April),2009,2009,-,Both sexes,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,30.5
PEA16,Estimated Emigration (Persons in April),2009,2009,-,Both sexes,ON17,Other nationalities(17),Thousand,11
PEA16,Estimated Emigration (Persons in April),2009,2009,-,Both sexes,-,All nationalities,Thousand,72
PEA16,Estimated Emigration (Persons in April),2009,2009,1,Male,IE,Irish,Thousand,12.3
PEA16,Estimated Emigration (Persons in April),2009,2009,1,Male,GB01,UK (1),Thousand,2.4
PEA16,Estimated Emigration (Persons in April),2009,2009,1,Male,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,1.9
PEA16,Estimated Emigration (Persons in April),2009,2009,1,Male,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,21.1
PEA16,Estimated Emigration (Persons in April),2009,2009,1,Male,ON17,Other nationalities(17),Thousand,4.3
PEA16,Estimated Emigration (Persons in April),2009,2009,1,Male,-,All nationalities,Thousand,41.9
PEA16,Estimated Emigration (Persons in April),2009,2009,2,Female,IE,Irish,Thousand,6.9
PEA16,Estimated Emigration (Persons in April),2009,2009,2,Female,GB01,UK (1),Thousand,1.5
PEA16,Estimated Emigration (Persons in April),2009,2009,2,Female,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,5.5
PEA16,Estimated Emigration (Persons in April),2009,2009,2,Female,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,9.5
PEA16,Estimated Emigration (Persons in April),2009,2009,2,Female,ON17,Other nationalities(17),Thousand,6.7
PEA16,Estimated Emigration (Persons in April),2009,2009,2,Female,-,All nationalities,Thousand,30.1
PEA16,Estimated Emigration (Persons in April),2010,2010,-,Both sexes,IE,Irish,Thousand,28.9
PEA16,Estimated Emigration (Persons in April),2010,2010,-,Both sexes,GB01,UK (1),Thousand,3
PEA16,Estimated Emigration (Persons in April),2010,2010,-,Both sexes,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,9
PEA16,Estimated Emigration (Persons in April),2010,2010,-,Both sexes,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,19
PEA16,Estimated Emigration (Persons in April),2010,2010,-,Both sexes,ON17,Other nationalities(17),Thousand,9.3
PEA16,Estimated Emigration (Persons in April),2010,2010,-,Both sexes,-,All nationalities,Thousand,69.2
PEA16,Estimated Emigration (Persons in April),2010,2010,1,Male,IE,Irish,Thousand,16.7
PEA16,Estimated Emigration (Persons in April),2010,2010,1,Male,GB01,UK (1),Thousand,1.7
PEA16,Estimated Emigration (Persons in April),2010,2010,1,Male,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,4
PEA16,Estimated Emigration (Persons in April),2010,2010,1,Male,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,12.8
PEA16,Estimated Emigration (Persons in April),2010,2010,1,Male,ON17,Other nationalities(17),Thousand,5.4
PEA16,Estimated Emigration (Persons in April),2010,2010,1,Male,-,All nationalities,Thousand,40.6
PEA16,Estimated Emigration (Persons in April),2010,2010,2,Female,IE,Irish,Thousand,12.2
PEA16,Estimated Emigration (Persons in April),2010,2010,2,Female,GB01,UK (1),Thousand,1.4
PEA16,Estimated Emigration (Persons in April),2010,2010,2,Female,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,5
PEA16,Estimated Emigration (Persons in April),2010,2010,2,Female,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,6.2
PEA16,Estimated Emigration (Persons in April),2010,2010,2,Female,ON17,Other nationalities(17),Thousand,3.9
PEA16,Estimated Emigration (Persons in April),2010,2010,2,Female,-,All nationalities,Thousand,28.7
PEA16,Estimated Emigration (Persons in April),2011,2011,-,Both sexes,IE,Irish,Thousand,42
PEA16,Estimated Emigration (Persons in April),2011,2011,-,Both sexes,GB01,UK (1),Thousand,4.6
PEA16,Estimated Emigration (Persons in April),2011,2011,-,Both sexes,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,10.2
PEA16,Estimated Emigration (Persons in April),2011,2011,-,Both sexes,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,13.9
PEA16,Estimated Emigration (Persons in April),2011,2011,-,Both sexes,ON17,Other nationalities(17),Thousand,9.9
PEA16,Estimated Emigration (Persons in April),2011,2011,-,Both sexes,-,All nationalities,Thousand,80.6
PEA16,Estimated Emigration (Persons in April),2011,2011,1,Male,IE,Irish,Thousand,24.5
PEA16,Estimated Emigration (Persons in April),2011,2011,1,Male,GB01,UK (1),Thousand,1.8
PEA16,Estimated Emigration (Persons in April),2011,2011,1,Male,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,3.7
PEA16,Estimated Emigration (Persons in April),2011,2011,1,Male,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,6.8
