immigration_id	file_name	year	gender	nationality	unit	value
64300ab3c1f531f75d1b5439	PEA17	2006	Both sexes	Irish	Thousand	18.9
64300ab3c1f531f75d1b543a	PEA17	2006	Both sexes	UK (1)	Thousand	9.9
64300ab3c1f531f75d1b543b	PEA17	2006	Both sexes	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	12.7
64300ab3c1f531f75d1b543c	PEA17	2006	Both sexes	EU15 to EU27 (accession countries joined post 2004)	Thousand	49.9
64300ab3c1f531f75d1b543d	PEA17	2006	Both sexes	Other nationalities(17)	Thousand	16.4
64300ab3c1f531f75d1b543e	PEA17	2006	Both sexes	All nationalities	Thousand	107.8
64300ab3c1f531f75d1b543f	PEA17	2006	Male	Irish	Thousand	9.5
64300ab3c1f531f75d1b5440	PEA17	2006	Male	UK (1)	Thousand	5.7
64300ab3c1f531f75d1b5441	PEA17	2006	Male	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	6.4
64300ab3c1f531f75d1b5442	PEA17	2006	Male	EU15 to EU27 (accession countries joined post 2004)	Thousand	30.7
64300ab3c1f531f75d1b5443	PEA17	2006	Male	Other nationalities(17)	Thousand	8.0
64300ab3c1f531f75d1b5444	PEA17	2006	Male	All nationalities	Thousand	60.3
64300ab3c1f531f75d1b5445	PEA17	2006	Female	Irish	Thousand	9.4
64300ab3c1f531f75d1b5446	PEA17	2006	Female	UK (1)	Thousand	4.2
64300ab3c1f531f75d1b5447	PEA17	2006	Female	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	6.2
64300ab3c1f531f75d1b5448	PEA17	2006	Female	EU15 to EU27 (accession countries joined post 2004)	Thousand	19.2
64300ab3c1f531f75d1b5449	PEA17	2006	Female	Other nationalities(17)	Thousand	8.5
64300ab3c1f531f75d1b544a	PEA17	2006	Female	All nationalities	Thousand	47.5
64300ab3c1f531f75d1b544b	PEA17	2007	Both sexes	Irish	Thousand	30.7
64300ab3c1f531f75d1b544c	PEA17	2007	Both sexes	UK (1)	Thousand	4.3
64300ab3c1f531f75d1b544d	PEA17	2007	Both sexes	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	11.8
64300ab3c1f531f75d1b544e	PEA17	2007	Both sexes	EU15 to EU27 (accession countries joined post 2004)	Thousand	85.3
64300ab3c1f531f75d1b544f	PEA17	2007	Both sexes	Other nationalities(17)	Thousand	19.0
64300ab3c1f531f75d1b5450	PEA17	2007	Both sexes	All nationalities	Thousand	151.1
64300ab3c1f531f75d1b5451	PEA17	2007	Male	Irish	Thousand	15.7
64300ab3c1f531f75d1b5452	PEA17	2007	Male	UK (1)	Thousand	2.4
64300ab3c1f531f75d1b5453	PEA17	2007	Male	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	4.7
64300ab3c1f531f75d1b5454	PEA17	2007	Male	EU15 to EU27 (accession countries joined post 2004)	Thousand	47.5
64300ab3c1f531f75d1b5455	PEA17	2007	Male	Other nationalities(17)	Thousand	9.6
64300ab3c1f531f75d1b5456	PEA17	2007	Male	All nationalities	Thousand	80.0
64300ab3c1f531f75d1b5457	PEA17	2007	Female	Irish	Thousand	15.0
64300ab3c1f531f75d1b5458	PEA17	2007	Female	UK (1)	Thousand	1.9
64300ab3c1f531f75d1b5459	PEA17	2007	Female	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	7.1
64300ab3c1f531f75d1b545a	PEA17	2007	Female	EU15 to EU27 (accession countries joined post 2004)	Thousand	37.8
64300ab3c1f531f75d1b545b	PEA17	2007	Female	Other nationalities(17)	Thousand	9.4
64300ab3c1f531f75d1b545c	PEA17	2007	Female	All nationalities	Thousand	71.1
64300ab3c1f531f75d1b545d	PEA17	2008	Both sexes	Irish	Thousand	23.8
64300ab3c1f531f75d1b545e	PEA17	2008	Both sexes	UK (1)	Thousand	6.8
64300ab3c1f531f75d1b545f	PEA17	2008	Both sexes	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	9.6
64300ab3c1f531f75d1b5460	PEA17	2008	Both sexes	EU15 to EU27 (accession countries joined post 2004)	Thousand	54.7
64300ab3c1f531f75d1b5461	PEA17	2008	Both sexes	Other nationalities(17)	Thousand	18.6
64300ab3c1f531f75d1b5462	PEA17	2008	Both sexes	All nationalities	Thousand	113.5
64300ab3c1f531f75d1b5463	PEA17	2008	Male	Irish	Thousand	11.8
64300ab3c1f531f75d1b5464	PEA17	2008	Male	UK (1)	Thousand	4.1
64300ab3c1f531f75d1b5465	PEA17	2008	Male	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	3.9
64300ab3c1f531f75d1b5466	PEA17	2008	Male	EU15 to EU27 (accession countries joined post 2004)	Thousand	24.8
64300ab3c1f531f75d1b5467	PEA17	2008	Male	Other nationalities(17)	Thousand	9.4
64300ab3c1f531f75d1b5468	PEA17	2008	Male	All nationalities	Thousand	53.9
64300ab3c1f531f75d1b5469	PEA17	2008	Female	Irish	Thousand	12.0
64300ab3c1f531f75d1b546a	PEA17	2008	Female	UK (1)	Thousand	2.7
64300ab3c1f531f75d1b546b	PEA17	2008	Female	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	5.7
64300ab3c1f531f75d1b546c	PEA17	2008	Female	EU15 to EU27 (accession countries joined post 2004)	Thousand	29.9
64300ab3c1f531f75d1b546d	PEA17	2008	Female	Other nationalities(17)	Thousand	9.2
64300ab3c1f531f75d1b546e	PEA17	2008	Female	All nationalities	Thousand	59.5
64300ab3c1f531f75d1b546f	PEA17	2009	Both sexes	Irish	Thousand	23.0
64300ab3c1f531f75d1b5470	PEA17	2009	Both sexes	UK (1)	Thousand	3.9
64300ab3c1f531f75d1b5471	PEA17	2009	Both sexes	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	11.5
64300ab3c1f531f75d1b5472	PEA17	2009	Both sexes	EU15 to EU27 (accession countries joined post 2004)	Thousand	21.1
64300ab3c1f531f75d1b5473	PEA17	2009	Both sexes	Other nationalities(17)	Thousand	14.1
64300ab3c1f531f75d1b5474	PEA17	2009	Both sexes	All nationalities	Thousand	73.7
64300ab3c1f531f75d1b5475	PEA17	2009	Male	Irish	Thousand	13.0
64300ab3c1f531f75d1b5476	PEA17	2009	Male	UK (1)	Thousand	2.3
64300ab3c1f531f75d1b5477	PEA17	2009	Male	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	3.7
64300ab3c1f531f75d1b5478	PEA17	2009	Male	EU15 to EU27 (accession countries joined post 2004)	Thousand	10.8
64300ab3c1f531f75d1b5479	PEA17	2009	Male	Other nationalities(17)	Thousand	7.0
64300ab3c1f531f75d1b547a	PEA17	2009	Male	All nationalities	Thousand	36.8
64300ab3c1f531f75d1b547b	PEA17	2009	Female	Irish	Thousand	10.0
64300ab3c1f531f75d1b547c	PEA17	2009	Female	UK (1)	Thousand	1.7
64300ab3c1f531f75d1b547d	PEA17	2009	Female	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	7.9
64300ab3c1f531f75d1b547e	PEA17	2009	Female	EU15 to EU27 (accession countries joined post 2004)	Thousand	10.3
64300ab3c1f531f75d1b547f	PEA17	2009	Female	Other nationalities(17)	Thousand	7.1
64300ab3c1f531f75d1b5480	PEA17	2009	Female	All nationalities	Thousand	36.8
64300ab3c1f531f75d1b5481	PEA17	2010	Both sexes	Irish	Thousand	17.9
64300ab3c1f531f75d1b5482	PEA17	2010	Both sexes	UK (1)	Thousand	2.5
64300ab3c1f531f75d1b5483	PEA17	2010	Both sexes	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	6.2
64300ab3c1f531f75d1b5484	PEA17	2010	Both sexes	EU15 to EU27 (accession countries joined post 2004)	Thousand	9.3
64300ab3c1f531f75d1b5485	PEA17	2010	Both sexes	Other nationalities(17)	Thousand	6.0
64300ab3c1f531f75d1b5486	PEA17	2010	Both sexes	All nationalities	Thousand	41.8
64300ab3c1f531f75d1b5487	PEA17	2010	Male	Irish	Thousand	9.0
64300ab3c1f531f75d1b5488	PEA17	2010	Male	UK (1)	Thousand	1.4
64300ab3c1f531f75d1b5489	PEA17	2010	Male	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	2.6
64300ab3c1f531f75d1b548a	PEA17	2010	Male	EU15 to EU27 (accession countries joined post 2004)	Thousand	4.6
64300ab3c1f531f75d1b548b	PEA17	2010	Male	Other nationalities(17)	Thousand	2.8
64300ab3c1f531f75d1b548c	PEA17	2010	Male	All nationalities	Thousand	20.4
64300ab3c1f531f75d1b548d	PEA17	2010	Female	Irish	Thousand	8.9
64300ab3c1f531f75d1b548e	PEA17	2010	Female	UK (1)	Thousand	1.1
64300ab3c1f531f75d1b548f	PEA17	2010	Female	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	3.6
64300ab3c1f531f75d1b5490	PEA17	2010	Female	EU15 to EU27 (accession countries joined post 2004)	Thousand	4.6
64300ab3c1f531f75d1b5491	PEA17	2010	Female	Other nationalities(17)	Thousand	3.2
64300ab3c1f531f75d1b5492	PEA17	2010	Female	All nationalities	Thousand	21.4
64300ab3c1f531f75d1b5493	PEA17	2011	Both sexes	Irish	Thousand	19.6
64300ab3c1f531f75d1b5494	PEA17	2011	Both sexes	UK (1)	Thousand	4.1
64300ab3c1f531f75d1b5495	PEA17	2011	Both sexes	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	7.1
64300ab3c1f531f75d1b5496	PEA17	2011	Both sexes	EU15 to EU27 (accession countries joined post 2004)	Thousand	10.1
64300ab3c1f531f75d1b5497	PEA17	2011	Both sexes	Other nationalities(17)	Thousand	12.4
64300ab3c1f531f75d1b5498	PEA17	2011	Both sexes	All nationalities	Thousand	53.3
64300ab3c1f531f75d1b5499	PEA17	2011	Male	Irish	Thousand	9.9
64300ab3c1f531f75d1b549a	PEA17	2011	Male	UK (1)	Thousand	2.2
64300ab3c1f531f75d1b549b	PEA17	2011	Male	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	3.4
64300ab3c1f531f75d1b549c	PEA17	2011	Male	EU15 to EU27 (accession countries joined post 2004)	Thousand	4.6
64300ab3c1f531f75d1b549d	PEA17	2011	Male	Other nationalities(17)	Thousand	5.9
64300ab3c1f531f75d1b549e	PEA17	2011	Male	All nationalities	Thousand	26.0
64300ab3c1f531f75d1b549f	PEA17	2011	Female	Irish	Thousand	9.7
64300ab3c1f531f75d1b54a0	PEA17	2011	Female	UK (1)	Thousand	1.9
64300ab3c1f531f75d1b54a1	PEA17	2011	Female	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	3.7
64300ab3c1f531f75d1b54a2	PEA17	2011	Female	EU15 to EU27 (accession countries joined post 2004)	Thousand	5.5
64300ab3c1f531f75d1b54a3	PEA17	2011	Female	Other nationalities(17)	Thousand	6.5
64300ab3c1f531f75d1b54a4	PEA17	2011	Female	All nationalities	Thousand	27.2
64300ab3c1f531f75d1b54a5	PEA17	2012	Both sexes	Irish	Thousand	20.1
64300ab3c1f531f75d1b54a6	PEA17	2012	Both sexes	UK (1)	Thousand	3.9
64300ab3c1f531f75d1b54a7	PEA17	2012	Both sexes	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	7.9
64300ab3c1f531f75d1b54a8	PEA17	2012	Both sexes	EU15 to EU27 (accession countries joined post 2004)	Thousand	7.7
64300ab3c1f531f75d1b54a9	PEA17	2012	Both sexes	Other nationalities(17)	Thousand	17.7
64300ab3c1f531f75d1b54aa	PEA17	2012	Both sexes	All nationalities	Thousand	57.3
64300ab3c1f531f75d1b54ab	PEA17	2012	Male	Irish	Thousand	9.1
64300ab3c1f531f75d1b54ac	PEA17	2012	Male	UK (1)	Thousand	2.0
64300ab3c1f531f75d1b54ad	PEA17	2012	Male	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	3.6
64300ab3c1f531f75d1b54ae	PEA17	2012	Male	EU15 to EU27 (accession countries joined post 2004)	Thousand	3.2
64300ab3c1f531f75d1b54af	PEA17	2012	Male	Other nationalities(17)	Thousand	9.6
64300ab3c1f531f75d1b54b0	PEA17	2012	Male	All nationalities	Thousand	27.5
64300ab3c1f531f75d1b54b1	PEA17	2012	Female	Irish	Thousand	11.0
64300ab3c1f531f75d1b54b2	PEA17	2012	Female	UK (1)	Thousand	1.8
64300ab3c1f531f75d1b54b3	PEA17	2012	Female	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	4.3
64300ab3c1f531f75d1b54b4	PEA17	2012	Female	EU15 to EU27 (accession countries joined post 2004)	Thousand	4.5
64300ab3c1f531f75d1b54b5	PEA17	2012	Female	Other nationalities(17)	Thousand	8.2
64300ab3c1f531f75d1b54b6	PEA17	2012	Female	All nationalities	Thousand	29.7
64300ab3c1f531f75d1b54b7	PEA17	2013	Both sexes	Irish	Thousand	21.7
64300ab3c1f531f75d1b54b8	PEA17	2013	Both sexes	UK (1)	Thousand	4.1
64300ab3c1f531f75d1b54b9	PEA17	2013	Both sexes	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	8.8
64300ab3c1f531f75d1b54ba	PEA17	2013	Both sexes	EU15 to EU27 (accession countries joined post 2004)	Thousand	8.3
64300ab3c1f531f75d1b54bb	PEA17	2013	Both sexes	Other nationalities(17)	Thousand	19.8
64300ab3c1f531f75d1b54bc	PEA17	2013	Both sexes	All nationalities	Thousand	62.7
64300ab3c1f531f75d1b54bd	PEA17	2013	Male	Irish	Thousand	10.5
64300ab3c1f531f75d1b54be	PEA17	2013	Male	UK (1)	Thousand	2.3
64300ab3c1f531f75d1b54bf	PEA17	2013	Male	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	4.4
64300ab3c1f531f75d1b54c0	PEA17	2013	Male	EU15 to EU27 (accession countries joined post 2004)	Thousand	3.8
64300ab3c1f531f75d1b54c1	PEA17	2013	Male	Other nationalities(17)	Thousand	11.3
64300ab3c1f531f75d1b54c2	PEA17	2013	Male	All nationalities	Thousand	32.3
64300ab3c1f531f75d1b54c3	PEA17	2013	Female	Irish	Thousand	11.2
64300ab3c1f531f75d1b54c4	PEA17	2013	Female	UK (1)	Thousand	1.9
64300ab3c1f531f75d1b54c5	PEA17	2013	Female	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	4.3
64300ab3c1f531f75d1b54c6	PEA17	2013	Female	EU15 to EU27 (accession countries joined post 2004)	Thousand	4.6
64300ab3c1f531f75d1b54c7	PEA17	2013	Female	Other nationalities(17)	Thousand	8.4
64300ab3c1f531f75d1b54c8	PEA17	2013	Female	All nationalities	Thousand	30.4
64300ab3c1f531f75d1b54c9	PEA17	2014	Both sexes	Irish	Thousand	22.8
64300ab3c1f531f75d1b54ca	PEA17	2014	Both sexes	UK (1)	Thousand	4.2
64300ab3c1f531f75d1b54cb	PEA17	2014	Both sexes	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	9.4
64300ab3c1f531f75d1b54cc	PEA17	2014	Both sexes	EU15 to EU27 (accession countries joined post 2004)	Thousand	11.1
64300ab3c1f531f75d1b54cd	PEA17	2014	Both sexes	Other nationalities(17)	Thousand	19.0
64300ab3c1f531f75d1b54ce	PEA17	2014	Both sexes	All nationalities	Thousand	66.5
64300ab3c1f531f75d1b54cf	PEA17	2014	Male	Irish	Thousand	9.9
64300ab3c1f531f75d1b54d0	PEA17	2014	Male	UK (1)	Thousand	2.0
64300ab3c1f531f75d1b54d1	PEA17	2014	Male	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	4.3
64300ab3c1f531f75d1b54d2	PEA17	2014	Male	EU15 to EU27 (accession countries joined post 2004)	Thousand	4.9
64300ab3c1f531f75d1b54d3	PEA17	2014	Male	Other nationalities(17)	Thousand	9.7
64300ab3c1f531f75d1b54d4	PEA17	2014	Male	All nationalities	Thousand	30.9
64300ab3c1f531f75d1b54d5	PEA17	2014	Female	Irish	Thousand	12.9
64300ab3c1f531f75d1b54d6	PEA17	2014	Female	UK (1)	Thousand	2.2
64300ab3c1f531f75d1b54d7	PEA17	2014	Female	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	5.1
64300ab3c1f531f75d1b54d8	PEA17	2014	Female	EU15 to EU27 (accession countries joined post 2004)	Thousand	6.1
64300ab3c1f531f75d1b54d9	PEA17	2014	Female	Other nationalities(17)	Thousand	9.3
64300ab3c1f531f75d1b54da	PEA17	2014	Female	All nationalities	Thousand	35.6
64300ab3c1f531f75d1b54db	PEA17	2015	Both sexes	Irish	Thousand	26.6
64300ab3c1f531f75d1b54dc	PEA17	2015	Both sexes	UK (1)	Thousand	5.0
64300ab3c1f531f75d1b54dd	PEA17	2015	Both sexes	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	10.2
64300ab3c1f531f75d1b54de	PEA17	2015	Both sexes	EU15 to EU27 (accession countries joined post 2004)	Thousand	12.2
64300ab3c1f531f75d1b54df	PEA17	2015	Both sexes	Other nationalities(17)	Thousand	21.9
64300ab3c1f531f75d1b54e0	PEA17	2015	Both sexes	All nationalities	Thousand	75.9
64300ab3c1f531f75d1b54e1	PEA17	2015	Male	Irish	Thousand	11.9
64300ab3c1f531f75d1b54e2	PEA17	2015	Male	UK (1)	Thousand	2.5
64300ab3c1f531f75d1b54e3	PEA17	2015	Male	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	4.6
64300ab3c1f531f75d1b54e4	PEA17	2015	Male	EU15 to EU27 (accession countries joined post 2004)	Thousand	5.5
64300ab3c1f531f75d1b54e5	PEA17	2015	Male	Other nationalities(17)	Thousand	11.2
64300ab3c1f531f75d1b54e6	PEA17	2015	Male	All nationalities	Thousand	35.7
64300ab3c1f531f75d1b54e7	PEA17	2015	Female	Irish	Thousand	14.7
64300ab3c1f531f75d1b54e8	PEA17	2015	Female	UK (1)	Thousand	2.5
64300ab3c1f531f75d1b54e9	PEA17	2015	Female	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	5.6
64300ab3c1f531f75d1b54ea	PEA17	2015	Female	EU15 to EU27 (accession countries joined post 2004)	Thousand	6.7
64300ab3c1f531f75d1b54eb	PEA17	2015	Female	Other nationalities(17)	Thousand	10.7
64300ab3c1f531f75d1b54ec	PEA17	2015	Female	All nationalities	Thousand	40.2
64300ab3c1f531f75d1b54ed	PEA17	2016	Both sexes	Irish	Thousand	28.4
64300ab3c1f531f75d1b54ee	PEA17	2016	Both sexes	UK (1)	Thousand	5.9
64300ab3c1f531f75d1b54ef	PEA17	2016	Both sexes	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	11.4
64300ab3c1f531f75d1b54f0	PEA17	2016	Both sexes	EU15 to EU27 (accession countries joined post 2004)	Thousand	13.2
64300ab3c1f531f75d1b54f1	PEA17	2016	Both sexes	Other nationalities(17)	Thousand	23.6
64300ab3c1f531f75d1b54f2	PEA17	2016	Both sexes	All nationalities	Thousand	82.3
64300ab3c1f531f75d1b54f3	PEA17	2016	Male	Irish	Thousand	14.4
64300ab3c1f531f75d1b54f4	PEA17	2016	Male	UK (1)	Thousand	3.3
64300ab3c1f531f75d1b54f5	PEA17	2016	Male	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	5.2
64300ab3c1f531f75d1b54f6	PEA17	2016	Male	EU15 to EU27 (accession countries joined post 2004)	Thousand	6.8
64300ab3c1f531f75d1b54f7	PEA17	2016	Male	Other nationalities(17)	Thousand	11.5
64300ab3c1f531f75d1b54f8	PEA17	2016	Male	All nationalities	Thousand	41.2
64300ab3c1f531f75d1b54f9	PEA17	2016	Female	Irish	Thousand	13.9
64300ab3c1f531f75d1b54fa	PEA17	2016	Female	UK (1)	Thousand	2.6
64300ab3c1f531f75d1b54fb	PEA17	2016	Female	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	6.2
64300ab3c1f531f75d1b54fc	PEA17	2016	Female	EU15 to EU27 (accession countries joined post 2004)	Thousand	6.4
64300ab3c1f531f75d1b54fd	PEA17	2016	Female	Other nationalities(17)	Thousand	12.1
64300ab3c1f531f75d1b54fe	PEA17	2016	Female	All nationalities	Thousand	41.2
64300ab3c1f531f75d1b54ff	PEA17	2017	Both sexes	Irish	Thousand	27.4
64300ab3c1f531f75d1b5500	PEA17	2017	Both sexes	UK (1)	Thousand	6.1
64300ab3c1f531f75d1b5501	PEA17	2017	Both sexes	EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)	Thousand	10.8
64300ab3c1f531f75d1b5502	PEA17	2017	Both sexes	EU15 to EU27 (accession countries joined post 2004)	Thousand	10.9
64300ab3c1f531f75d1b5503	PEA17	2017	Both sexes	Other nationalities(17)	Thousand	29.4
